_id,created_at,updated_at,@context,@type,name,url,floorSize.@type,floorSize.value,floorSize.unitCode,address.@type,address.addressLocality,address.addressRegion,address.postalCode,geo.@type,geo.addressCountry,geo.latitude,geo.longitude,geo.postalCode,image,announce_detail.rooms,announce_detail.bead_rooms,announce_detail.bathroom,announce_detail.shower_room,announce_detail.price,announce_detail.price_m2,announce_detail.dpe,announce_detail.ges
6591b9bd6aea9bf2410bf10f,2023-12-31 18:58:05.012,2023-12-31 18:58:05.012,https://schema.org,SingleFamilyResidence,appartement 43.7M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64792098.html,QuantitativeValue,43.70000076293945,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.72222,7.28326,F-06000,https://lh3.googleusercontent.com/NLgy9L6A-ZgmpqokGmzpjMz0Zy_C-HHoMioBHjl55QDi3eQCFtnZMK2ESVlVo2K0U-6bOKP89DUF7_wsMtj1vcEuuJOOny1IXfdE=rj-w350-h264-l80,2,1,0,0,250000,5721,A,A
6591b9c26aea9bf2410bf110,2023-12-31 18:58:10.149,2023-12-31 18:58:10.149,https://schema.org,SingleFamilyResidence,appartement 100M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64789686.html,QuantitativeValue,100.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/gW4LZyeNB31t_7SACUV4pYF57TP31xhTU2NUzpbvX0bWbHfzxY_l_o1DxkBGm2eIFbdWsp9qhRNaYtOfRlpmFwjpFXbd-De1XtLj=rj-w350-h264-l80,4,3,1,1,699000,6990,B,B
6591b9c66aea9bf2410bf111,2023-12-31 18:58:14.466,2023-12-31 18:58:14.466,https://schema.org,SingleFamilyResidence,appartement 76M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64782556.html,QuantitativeValue,76.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.708748,7.287641,F-06300,https://lh3.googleusercontent.com/zTZ6ouBy8MjSJHJdp1Vv_Wf3kIX0F8CyOpl32-yDAEjCR9nAHz0vGiSaJBNF7kNNi986ZiPCvLI9sowmC6Fq_zvgBiquZmcDwIsqPw=rj-w350-h264-l80,4,3,1,0,280000,3684,E,B
6591b9cb6aea9bf2410bf112,2023-12-31 18:58:19.084,2023-12-31 18:58:19.084,https://schema.org,SingleFamilyResidence,appartement 74M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64781234.html,QuantitativeValue,74.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/z1x0Lz3HafmKepw962YPk-dsbIwaOad6uDjTCi7iz8nmObwHBTSIWcVzSOp2M0uOANJyBFxZeDxT3TLE1F8OXApwfc3qeSogNKItuA=rj-w350-h264-l80,4,3,1,0,186000,2514,D,D
6591b9cf6aea9bf2410bf113,2023-12-31 18:58:23.815,2023-12-31 18:58:23.815,https://schema.org,SingleFamilyResidence,appartement 23M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64785650.html,QuantitativeValue,23.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.71621,7.29274,F-06300,https://lh3.googleusercontent.com/DY6r6YqdWAxVx-VeDay2i4KpxlsPSsjax3EcgCIP4KjjTRoSJFyJvx7EwQ657lUnvqzUKwe8IYqd_ZfhWF6es9xEmZaxZoh6PmLHxIo=rj-w350-h264-l80,1,0,0,0,188000,8174,F,F
6591b9d46aea9bf2410bf114,2023-12-31 18:58:28.296,2023-12-31 18:58:28.296,https://schema.org,SingleFamilyResidence,appartement 28M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64793032.html,QuantitativeValue,28.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/3N7V1RtDPSo-Z_heIp609j37M8cO_TESAolq4kfVorUaUbUMU8S0BpJ72iZMAIqeW4qL24OW0kVPnDlP5_CV_z6lA2fKARdOfAgW=rj-w350-h264-l80,1,1,0,0,350000,12500,A,A
6591b9d66aea9bf2410bf115,2023-12-31 18:58:30.631,2023-12-31 18:58:30.631,https://schema.org,SingleFamilyResidence,appartement 115M2 à Nice (06),https://proprietes.lefigaro.fr/annonces/appartement-alpes+maritimes-provence+alpes+cote+d+azur-france/64789232/,QuantitativeValue,115.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.71285,7.25387,F-06000,https://lh3.googleusercontent.com/RLOp8ftXR7sPxZ-ub1TR6xjmlrSa8Hgf1gYOhY_vpWV3DpoHOJjWGaC8jwn71XKepTKld-YD2exrkbmQwt7qvnkhYaBqELUXKrNTig=rj-w350-h264-l80,0,0,0,0,0,0,F,F
6591b9dc6aea9bf2410bf116,2023-12-31 18:58:36.110,2023-12-31 18:58:36.110,https://schema.org,SingleFamilyResidence,appartement 70M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783292.html,QuantitativeValue,70.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.7,7.25,F-06300,https://lh3.googleusercontent.com/9D65hGNu4mJlsO5_o2ZHYmNCgMUgBg_SgKMvOjkGDUHA3eXMKjQOgw6FEPhNWZOYKGS4o3xDk-dBgixCMcGElt3_JBH1cYsyuudO1Q=rj-w350-h264-l80,3,2,1,1,414000,5914,B,B
6591b9e16aea9bf2410bf117,2023-12-31 18:58:41.086,2023-12-31 18:58:41.086,https://schema.org,SingleFamilyResidence,appartement 60M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783286.html,QuantitativeValue,60.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06100,GeoCoordinates,France,43.7,7.25,F-06100,https://lh3.googleusercontent.com/U0rf7G6CMp4smK5IIiJz4sFN44LE1xyMUI7x9ucv6Af1K1FkPz9-QjWhwqu8df254QdUQbo1agIXP4bT_PXSxEPgDgwxs4bFyWa7LRU=rj-w350-h264-l80,3,2,1,1,410000,6833,B,B
6591b9e66aea9bf2410bf118,2023-12-31 18:58:46.603,2023-12-31 18:58:46.603,https://schema.org,SingleFamilyResidence,appartement 75M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783304.html,QuantitativeValue,75.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.7,7.25,F-06300,https://lh3.googleusercontent.com/-ly_OfL3VGb4eBQ8_2xw9xCs5Pkfbsvl7EV7Nl-2rb_GT_VpjQxdDSPtNG3xGZYlcygf_BOu5mdy47rAZNBOfA4NjsyYOVoD6AqQ=rj-w350-h264-l80,3,2,1,1,435000,5800,B,B
6591b9e86aea9bf2410bf119,2023-12-31 18:58:48.903,2023-12-31 18:58:48.903,https://schema.org,SingleFamilyResidence,appartement 83M2 à Nice (06),https://proprietes.lefigaro.fr/annonces/appartement-alpes+maritimes-provence+alpes+cote+d+azur-france/64789224/,QuantitativeValue,83.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.71294,7.27199,F-06000,https://lh3.googleusercontent.com/in56mv45e_cmYz7rh1KWVR5p7DVJRjEsCa03Q4c_lGf4kuLVrf8x5M0CEnMAIhF3ltApi5YtPGjuO08g14Yo3JDAsxGUCVWw_yiE1zc=rj-w350-h264-l80,0,0,0,0,0,0,F,F
6591b9f66aea9bf2410bf11a,2023-12-31 18:59:02.551,2023-12-31 18:59:02.551,https://schema.org,SingleFamilyResidence,appartement 86.42M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-62072870.html,QuantitativeValue,86.41999816894531,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.69039,7.29424,F-06300,https://lh3.googleusercontent.com/OOk7Xii76uLgkE6laZMp_LpvnNARQF5GIoVWWmIoDScfqbVFIATm6wrqmfzyO4kDy77AxtoKhsDNt9iREAydM9FZtt33XosZKgz9=rj-w350-h264-l80,3,2,0,1,725000,8389,D,D
